"","Species","shape","scale","location","adjust"
"1","ABBA",1.73375858921643,4.56913091229346,0,5.41920489617526
"2","ACRU",1.30579152031763,6.90350182493262,0,9.27212410673429
"3","ACSA3",2.68493221665453,6.58202524293231,0,5.90342504818588
"4","ACSP2",1.68284946777367,4.2300164411782,0,5.01681725118099
"5","BEAL2",2.54657812519617,4.16117797247802,0,3.27525690116375
"6","BEPA",0.984698109590186,3.69254474115192,0,3.99712213226734
"7","LALA",1.44054490674535,3.80641541135556,0,4.89928189649897
"8","PIBA2",0.738675682487475,1.4604783926464,0,1.97105370457403
"9","PIGL",0.315649936639654,0.497830371310448,0,3.16300019352586
"10","PIMA",1.24055514130295,6.13005704479429,0,7.426791822346
"11","PIRE",0.972924549126466,2.19118950872314,0,2.54954140020297
"12","PIST",1,2.58665327358454,0,3.01437103341505
"13","POBA2",1.41067177109605,6.71445921858824,0,7.33337038433749
"14","POGR4",0.876789511441716,5.30786551729087,0,4.78118960745184
"15","POTR5",0.876789511441716,5.30786551729087,0,4.78118960745184
"16","PRVI",0.937811872155322,4.46245240756061,0,4.44997654267704
"17","QURU",1.22918564910458,5.19168686638982,0,6.69484279749807
"18","SODE3",1.45752725461253,5.66582729264767,0,7.01319074272041
